Title,Speaker,Moderator,Date Start,Time Start,Date End,Time End,Location,TimeZoneBlock,Categories,UID,EVENTID
Time-varying connectivity: Data-driven approaches and clinical applications,Vince Calhoun,,20210603,165427,20210603,172602,time-varying,AmericasEurope,CourseVideo,753a3cd2-bd82-11eb-8bbd-1e00b921e125,
Mechanistic principles of Resting-State Networks and their modulation over time,Joana Cabral,,20210603,173200,20210603,175727,time-varying,AmericasEurope,CourseVideo,753aa190-bd82-11eb-99ba-1e00b921e125,
Biophysical models of dynamic functional connectivity: Linking scales and data modalities,Michael Breakspear,,20210603,175727,20210603,182343,time-varying,AmericasEurope,CourseVideo,753af4d8-bd82-11eb-bdb0-1e00b921e125,
Timescales of variation in human functional brain networks,Caterina Gratton,,20210603,182343,20210603,185402,time-varying,AmericasEurope,CourseVideo,753b4780-bd82-11eb-8cef-1e00b921e125,
Time-varying course: interactive session,Time-varying team,,20210603,190000,20210603,200000,time-varying,AmericasEurope,Roundtables,753b9adc-bd82-11eb-a326-1e00b921e125,
Meta-analysis course: welcome AmericasAsia,Tiffany Love,,20210604,3000,20210604,4000,meta-analysis,AmericasAsia,Announcements,753beb4a-bd82-11eb-b29d-1e00b921e125,
Part 1. Overview and history of neuroimaging meta-analyses,Angela Laird,,20210604,4000,20210604,5131,meta-analysis,AmericasAsia,CourseVideo,753c3b74-bd82-11eb-bddb-1e00b921e125,
"Part 2. Conventional, or manual, meta-analyses",Katherine Bottenhorn,,20210604,5131,20210604,11257,meta-analysis,AmericasAsia,CourseVideo,753c8b74-bd82-11eb-8b95-1e00b921e125,
Part 3. The neuroimaging meta-analytic ecosystem,Thomas Nichols,,20210604,13000,20210604,14450,meta-analysis,AmericasAsia,CourseVideo,753cdb40-bd82-11eb-b29e-1e00b921e125,
Part 4. Large-scale coordinate-based meta-analyses,Jérôme Dockès,,20210604,14450,20210604,20457,meta-analysis,AmericasAsia,CourseVideo,753d2bc2-bd82-11eb-80ee-1e00b921e125,
Part 5. Sources of error in meta-analyses,Kendra Oudyk,,20210604,20457,20210604,22434,meta-analysis,AmericasAsia,CourseVideo,753d7be2-bd82-11eb-8093-1e00b921e125,
Meta-analysis course: interactive session,Jean-Baptiste Poline,,20210604,24000,20210604,33000,meta-analysis,AmericasAsia,Roundtables,753dcbfe-bd82-11eb-9cf0-1e00b921e125,
Meta-analysis course: interactive session,Taylor Salo,,20210604,34000,20210604,44000,meta-analysis,AmericasAsia,Roundtables,753e1b7a-bd82-11eb-94a2-1e00b921e125,
Meta-Analysis course: welcome AmericasEurope,Tiffany Love,,20210603,163000,20210603,164000,meta-analysis,AmericasEurope,Announcements,753e6bae-bd82-11eb-b747-1e00b921e125,
Part 1. Overview and history of neuroimaging meta-analyses,Angela Laird,,20210603,164000,20210603,165131,meta-analysis,AmericasEurope,CourseVideo,753ebbe2-bd82-11eb-92da-1e00b921e125,
"Part 2. Conventional, or manual, meta-analyses",Katherine Bottenhorn,,20210603,165131,20210603,171257,meta-analysis,AmericasEurope,CourseVideo,753f0bc2-bd82-11eb-bda3-1e00b921e125,
Part 3. The neuroimaging meta-analytic ecosystem,Thomas Nichols,,20210603,173000,20210603,174450,meta-analysis,AmericasEurope,CourseVideo,753f5b90-bd82-11eb-9a37-1e00b921e125,
Part 4. Large-scale coordinate-based meta-analyses,Jérôme Dockès,,20210603,174450,20210603,180457,meta-analysis,AmericasEurope,CourseVideo,753fab9a-bd82-11eb-9963-1e00b921e125,
Part 5. Sources of error in meta-analyses,Kendra Oudyk,,20210603,180457,20210603,182434,meta-analysis,AmericasEurope,CourseVideo,753ffdac-bd82-11eb-8234-1e00b921e125,
Meta-analysis course: interactive session,Jean-Baptiste Poline,,20210603,184000,20210603,193000,meta-analysis,AmericasEurope,Roundtables,75404e62-bd82-11eb-858c-1e00b921e125,
Meta-analysis course: interactive session,Taylor Salo,,20210603,194000,20210603,204000,meta-analysis,AmericasEurope,Roundtables,7540a540-bd82-11eb-9c43-1e00b921e125,
